Instance;Best Key;Avg Key;Worst Key;Best Time;Avg Time;Worst time;Feat Old;Feat New;Samples Old;Samples New
cleve-un.csv;19;19.0;19;1.2366747856140137;1.2366783618927002;1.2366771697998047;395;19;303;239;
appendicitis-un.csv;18;18.0;18;0.11289477348327637;0.11289834976196289;0.11289715766906738;530;18;106;35;
australian-un.csv;33;33.0;33;18.86723756790161;18.867241144180298;18.867239952087402;1163;33;690;540;
hungarian-un.csv;24;24.0;24;0.8930528163909912;0.8930559158325195;0.8930549621582031;330;24;294;204;
house-votes-84-un.csv;11;11.0;11;0.21114683151245117;0.2111504077911377;0.2111492156982422;16;11;435;238;
spect-un.csv;14;14.0;14;0.04335355758666992;0.04335665702819824;0.043355703353881836;22;14;250;192;
promoters-un.csv;6;6.0;6;0.170884370803833;0.17088747024536133;0.17088651657104492;334;6;106;46;
car-un.csv;13;13.0;13;3.492797374725342;3.49280047416687;3.492799758911133;21;13;1728;972;
cancer-un.csv;15;15.0;15;1.7656419277191162;1.7656455039978027;1.7656445503234863;89;15;683;247;
backache-un.csv;11;11.0;11;0.25733208656311035;0.2573354244232178;0.25733447074890137;475;11;180;104;
colic-un.csv;17;17.0;17;2.1020572185516357;2.1020607948303223;2.102059841156006;415;17;368;314;
corral-un.csv;5;5.0;5;0.010059833526611328;0.01006317138671875;0.010062217712402344;6;5;160;32;
irish-un.csv;3;3.0;3;0.9621734619140625;0.962177038192749;0.9621758460998535;112;3;500;4;
meteo-un.csv;4;4.0;4;9.942054748535156e-05;0.00010037422180175781;9.989738464355469e-05;8;4;14;12;
mouse-un.csv;7;7.0;7;0.008263826370239258;0.008266687393188477;0.008265972137451172;45;7;70;19;
hepatitis-un.csv;11;11.0;11;0.187791109085083;0.18779468536376953;0.18779325485229492;361;11;155;95;
new-thyroid-un.csv;37;37.0;37;0.41562724113464355;0.4156308174133301;0.41562986373901367;334;37;215;143;
mux6-un.csv;6;6.0;6;0.0062863826751708984;0.006289243698120117;0.0062885284423828125;6;6;128;64;
heart-statlog-un.csv;20;20.0;20;0.9238157272338867;0.9238190650939941;0.9238178730010986;381;20;270;218;
haberman-un.csv;45;45.0;45;0.21191048622131348;0.2119143009185791;0.2119133472442627;92;45;300;246;
